"System","File","Line","UsageKind","FreeCallPresentInFile","Evidence"
"Items:Houses","Data/Scripts/Items/Houses/BaseHouse.cs","436","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetObjectsInRange(location, 0);"
"Items:Houses","Data/Scripts/Items/Houses/BaseHouse.cs","920","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = this.Map.GetItemsInBounds(rect);"
"Items:Houses","Data/Scripts/Items/Houses/BaseHouse.cs","4008","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInBounds("
"Items:Houses","Data/Scripts/Items/Houses/HousePlacement.cs","454","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetMultiTilesAt( yardPoint.X, yardPoint.Y );"
"Items:Houses","Data/Scripts/Items/Houses/TavernTable.cs","274","DirectForeachRangeScan","No","foreach (Mobile m in table.GetMobilesInRange(1))"
"Items:Houses","Data/Scripts/Items/Houses/TavernTable.cs","299","DirectForeachRangeScan","No","foreach (Item i in m.GetItemsInRange(1))"
"Items:Houses","Data/Scripts/Items/Houses/TavernTable.cs","332","DirectForeachRangeScan","No","foreach (Item i in m.GetItemsInRange(2))"
"Items:Houses","Data/Scripts/Items/Houses/TavernTable.cs","351","DirectForeachRangeScan","No","foreach (Item i in m.GetItemsInRange(2))"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Decorate.cs","903","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable;"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Decorate.cs","907","RangeScan","Yes","eable = map.GetItemsInRange(new Point3D(x, y, z), 1);"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Decorate.cs","943","RangeScan","Yes","eable = map.GetItemsInRange(new Point3D(x, y, z), 0);"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Decorate.cs","971","RangeScan","Yes","eable = map.GetItemsInRange(new Point3D(x, y, z), 0);"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Decorate.cs","988","RangeScan","Yes","eable = map.GetItemsInRange(new Point3D(x, y, z), 0);"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Decorate.cs","1036","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = maps[j].GetItemsInRange(loc, 1);"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Items/TownHouse.cs","275","DirectForeachRangeScan","No","foreach (Item item in Sign.GetItemsInRange(0))"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Items/TownHouseSign.cs","928","DirectForeachRangeScan","No","foreach (Item item in c_House.Sign.GetItemsInRange(0))"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Items/TownHouseSign.cs","957","DirectForeachRangeScan","No","foreach (Item item in Map.GetItemsInBounds(rect))"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Items/TownHouseSign.cs","1045","DirectForeachRangeScan","No","foreach (Item inneritem in newdoor.GetItemsInRange(1))"
"Items:Houses","Data/Scripts/Items/Houses/Monopoly/Items/TownHouseSign.cs","1089","DirectForeachRangeScan","No","foreach (Item inneritem in newdoor.GetItemsInRange(1))"
