"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Mobiles/Dragons/Great Dragons/CaddelliteDragon.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Dragons","Server.Mobiles","class:CaddelliteDragon;class:VordinaxChest;class:ItemRemovalTimer","True","Keep","","CustomTimerSubclass","class:CaddelliteDragon;class:VordinaxChest;class:ItemRemovalTimer","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Dragons/Great Dragons/CrystalDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:CrystalDragon;class:CrystalScales","True","Keep","","","class:CrystalDragon;class:CrystalScales","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Great Dragons/DragonKing.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:DragonKing","True","Keep","","","class:DragonKing","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Great Dragons/ElderDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:ElderDragon","True","Keep","","","class:ElderDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Great Dragons/RadiationDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:RadiationDragon","True","Keep","","","class:RadiationDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Great Dragons/VoidDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:VoidDragon","True","Keep","","","class:VoidDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Hydras/EnergyHydra.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:EnergyHydra","True","Keep","","","class:EnergyHydra","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Hydras/Hydra.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:Hydra","True","Keep","","","class:Hydra","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Hydras/Wyvra.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:Wyvra","True","Keep","","","class:Wyvra","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalAbysmalDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalAbysmalDragon","True","Keep","","","class:PrimevalAbysmalDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalAmberDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalAmberDragon","True","Keep","","","class:PrimevalAmberDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalBlackDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalBlackDragon","True","Keep","","","class:PrimevalBlackDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalDragon","True","Keep","","","class:PrimevalDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalFireDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalFireDragon","True","Keep","","","class:PrimevalFireDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalGreenDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalGreenDragon","True","Keep","","","class:PrimevalGreenDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalNightDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalNightDragon","True","Keep","","","class:PrimevalNightDragon","","","Mobiles root; serialization marker"
